No.;Time;Comment;Scramble;Date;P.1
100;12.80;; (0,5)/ (4,-2)/ (0,-3)/ (6,-3)/ (-3,0)/ (2,-1)/ (-5,0)/ (3,0)/ (6,-3)/ (3,-4)/ (0,-5)/ (0,-2)/ (-2,0);2026-01-01 16:00:09;12.80
101;16.35;; (0,-1)/ (0,-3)/ (0,-3)/ (3,0)/ (3,0)/ (6,0)/ (-2,-2)/ (0,-1)/ (3,0)/ (-4,0)/ (-3,0)/ (2,-2)/ (2,0)/ (6,-1);2026-01-01 16:04:43;16.35
102;14.71;; (3,2)/ (4,-5)/ (2,-4)/ (1,-5)/ (-1,-4)/ (0,-5)/ (0,-3)/ (4,-3)/ (0,-3)/ (5,0)/ (-4,0)/ (3,0)/ (0,-3);2026-01-01 16:05:15;14.71
103;15.78;; (0,5)/ (-2,-2)/ (0,6)/ (-3,0)/ (5,-4)/ (6,-3)/ (0,-2)/ (-3,0)/ (-3,0)/ (-3,-3)/ (4,0)/ (-2,0)/;2026-01-01 16:05:44;15.78
104;21.16;; (0,2)/ (1,-5)/ (2,-4)/ (4,-5)/ (5,-4)/ (-3,-2)/ (6,-3)/ (-4,-3)/ (2,0)/ (4,0)/ (-4,0)/ (4,-5);2026-01-01 16:06:18;21.16
105;19.89;; (-5,0)/ (-3,0)/ (3,0)/ (5,-1)/ (-5,-5)/ (-4,0)/ (0,-3)/ (0,-3)/ (3,-2)/ (5,-2)/ (-1,0)/;2026-01-01 16:07:01;19.89
106;17.54;; (0,-1)/ (4,-2)/ (-3,6)/ (-3,0)/ (5,-4)/ (-2,0)/ (0,-3)/ (5,0)/ (0,-2)/ (-4,0)/ (-5,0)/ (-4,0)/ (-2,0)/;2026-01-01 16:07:37;17.54
107;17.48;; (4,0)/ (5,-4)/ (-2,1)/ (5,-4)/ (-3,0)/ (0,-3)/ (-5,0)/ (0,-3)/ (3,0)/ (0,-4)/ (2,-2)/ (0,-4)/ (0,-4)/ (0,-5);2026-01-01 16:08:31;17.48
108;13.87;; (-5,3)/ (-3,3)/ (2,-1)/ (6,-3)/ (0,-3)/ (-5,0)/ (-3,-3)/ (1,0)/ (0,-2)/ (-2,0)/ (6,-2);2026-01-01 16:09:23;13.87
109;20.37;; (4,-3)/ (2,-4)/ (-3,0)/ (0,-3)/ (-5,-2)/ (-3,0)/ (0,-4)/ (0,-3)/ (-3,0)/ (-3,0)/ (6,-4)/ (2,0)/ (6,-4)/;2026-01-01 16:10:22;20.37
110;21.14;; (4,0)/ (0,3)/ (0,-3)/ (-3,0)/ (3,0)/ (2,-4)/ (-3,0)/ (0,-5)/ (6,-3)/ (0,-3)/ (-4,0)/ (0,-2)/ (-4,0)/ (0,-4)/ (-3,0);2026-01-01 16:10:57;21.14
111;15.54;; (1,-3)/ (2,5)/ (-2,-5)/ (0,-3)/ (-3,-3)/ (-1,-3)/ (3,0)/ (1,0)/ (-2,0)/ (-4,-4)/ (3,0)/ (4,0);2026-01-01 16:11:31;15.54
112;15.03;; (-3,-1)/ (-2,1)/ (0,-3)/ (6,-3)/ (0,-3)/ (-4,0)/ (0,-3)/ (4,-1)/ (4,0)/ (3,-4)/ (0,-4)/ (-3,0)/;2026-01-01 16:12:19;15.03
113;16.46;; (0,2)/ (1,1)/ (3,0)/ (3,0)/ (6,0)/ (0,-3)/ (-3,0)/ (-4,0)/ (-3,-3)/ (6,-5)/ (4,0)/ (4,0)/ (0,-2);2026-01-01 16:12:50;16.46
114;13.65;; (0,2)/ (-3,3)/ (-5,4)/ (-3,0)/ (3,0)/ (-3,0)/ (0,-1)/ (3,0)/ (-4,-5)/ (-3,-2)/ (3,0)/ (1,0)/ (6,-2)/;2026-01-01 16:13:22;13.65
115;12.87;; (0,-4)/ (1,4)/ (0,-3)/ (2,-1)/ (-3,0)/ (0,-3)/ (-2,0)/ (-3,-3)/ (0,-3)/ (-1,-1)/ (2,0)/ (-4,-4);2026-01-01 16:13:49;12.87
116;15.49;; (4,0)/ (5,2)/ (0,3)/ (4,-2)/ (-3,0)/ (-1,-1)/ (0,-5)/ (-3,-3)/ (2,0)/ (-5,0)/ (4,0)/ (-5,0)/ (-2,0)/ (-4,0);2026-01-01 16:14:20;15.49
117;14.07;; (0,-1)/ (1,-2)/ (2,5)/ (-2,-5)/ (6,-3)/ (3,-4)/ (-3,-3)/ (3,0)/ (4,0)/ (-4,0)/ (2,0);2026-01-01 16:14:52;14.07
118;13.72;; (-2,0)/ (5,-1)/ (-5,-2)/ (-4,-1)/ (4,-2)/ (-1,-3)/ (3,0)/ (1,0)/ (-2,0)/ (0,-1)/ (2,0)/ (-4,0)/ (4,0)/;2026-01-01 16:15:20;13.72
119;14.76;; (0,-1)/ (1,4)/ (-3,0)/ (3,0)/ (-4,-1)/ (-5,-2)/ (-1,0)/ (-3,0)/ (0,-1)/ (-4,-2)/ (-4,0)/ (-2,-4)/ (-5,0);2026-01-01 16:15:47;14.76
120;14.03;; (4,-3)/ (-3,6)/ (2,-1)/ (0,-3)/ (4,-5)/ (0,-4)/ (-3,0)/ (-1,0)/ (-4,0)/ (-5,0)/ (0,-2)/ (-1,-4)/ (-2,0)/;2026-01-01 16:16:21;14.03
121;16.32;; (-2,0)/ (-3,0)/ (0,3)/ (3,-3)/ (-4,-4)/ (0,-3)/ (4,-3)/ (3,0)/ (3,-3)/ (-5,-4)/ (-4,0)/ (4,-5)/ (-4,0);2026-01-01 16:16:53;16.32
122;18.58;; (1,0)/ (0,6)/ (-4,5)/ (-3,0)/ (-2,-2)/ (-3,0)/ (0,-1)/ (0,-3)/ (3,0)/ (4,-4)/ (-4,0)/ (-2,-5)/ (0,-2)/ (-4,0);2026-01-01 16:17:29;18.58
123;12.67;; (-3,-1)/ (6,-3)/ (0,-3)/ (-5,-5)/ (3,0)/ (-3,-4)/ (-3,0)/ (-1,0)/ (-4,-5)/ (-1,0)/ (-4,-3)/ (2,0)/;2026-01-01 16:18:02;12.67
124;15.72;; (0,-1)/ (0,3)/ (-3,-3)/ (4,-5)/ (-1,-1)/ (6,0)/ (-2,0)/ (-3,0)/ (5,-2)/ (6,-4)/ (-1,-2)/ (-3,-2)/;2026-01-01 16:18:30;15.72
125;13.20;; (3,2)/ (3,0)/ (-2,4)/ (3,-3)/ (-3,0)/ (6,0)/ (0,-4)/ (6,-3)/ (0,-3)/ (-5,-1)/ (4,0)/ (3,0)/;2026-01-01 16:19:00;13.20
126;14.96;; (-2,0)/ (-3,0)/ (5,5)/ (0,-3)/ (3,0)/ (-3,0)/ (0,-3)/ (0,-2)/ (-3,-3)/ (0,-3)/ (4,0)/ (4,0)/ (0,-2)/ (-2,0);2026-01-01 16:19:27;14.96
127;15.68;; (0,-1)/ (0,-3)/ (3,0)/ (0,-3)/ (1,-2)/ (-4,-4)/ (-5,0)/ (-3,0)/ (0,-3)/ (0,-3)/ (-5,0)/ (-1,-2)/ (0,-5);2026-01-01 16:19:57;15.68
128;11.71;; (-3,-1)/ (3,6)/ (4,-2)/ (-3,0)/ (0,-3)/ (0,-1)/ (0,-3)/ (0,-3)/ (-3,-1)/ (1,0)/ (4,0);2026-01-01 16:20:24;11.71
129;13.84;; (0,5)/ (-5,-2)/ (0,-3)/ (0,-3)/ (-4,-1)/ (4,-5)/ (0,-4)/ (-3,-3)/ (-5,0)/ (4,-2)/ (6,-4)/ (6,-1)/;2026-01-01 16:20:52;13.84
130;11.45;; (-5,0)/ (-3,0)/ (2,5)/ (-2,-2)/ (-1,-4)/ (-3,-2)/ (0,-3)/ (4,0)/ (2,-1)/ (0,-2)/;2026-01-01 16:21:20;11.45
131;13.22;; (0,5)/ (-3,0)/ (4,-5)/ (-4,-4)/ (0,-3)/ (3,-3)/ (0,-2)/ (0,-3)/ (-2,0)/ (5,0)/ (-2,-5)/ (-1,0)/ (-2,0)/;2026-01-01 16:21:47;13.22
132;11.59;; (-2,0)/ (5,2)/ (-5,1)/ (2,-1)/ (6,-3)/ (-5,-3)/ (-3,-3)/ (-3,-2)/ (4,0)/ (-2,-1)/ (-4,-1);2026-01-01 16:22:20;11.59
133;18.76;; (-5,0)/ (-4,5)/ (-5,4)/ (-4,-1)/ (3,0)/ (0,-2)/ (0,-3)/ (0,-1)/ (0,-4)/ (0,-2)/ (-3,0)/ (-2,0)/ (-1,0)/ (0,-4);2026-01-01 16:22:49;18.76
134;12.79;; (0,-4)/ (3,0)/ (1,-5)/ (2,-1)/ (4,-5)/ (-3,0)/ (-1,0)/ (-3,-3)/ (0,-1)/ (0,-4)/ (4,0)/ (6,-1);2026-01-01 16:23:21;12.79
135;18.71;; (0,5)/ (4,1)/ (3,0)/ (3,0)/ (0,-3)/ (0,-3)/ (6,0)/ (-4,0)/ (3,0)/ (3,0)/ (4,0)/ (-2,0)/ (-4,-3)/ (3,-4);2026-01-01 16:23:54;18.71
136;19.80;; (0,-1)/ (6,-3)/ (-3,0)/ (1,-2)/ (5,-4)/ (3,-5)/ (0,-3)/ (3,0)/ (5,0)/ (4,0)/ (2,0)/ (-1,0);2026-01-01 16:24:26;19.80
137;13.37;; (0,-4)/ (-5,-2)/ (-4,-1)/ (-3,-3)/ (3,0)/ (4,0)/ (0,-3)/ (-1,-2)/ (3,-2)/ (1,0)/ (0,-4)/ (-1,-2);2026-01-01 16:25:19;13.37
138;17.06;; (0,5)/ (0,-3)/ (1,4)/ (-3,-3)/ (5,-1)/ (-3,0)/ (-5,0)/ (3,-3)/ (0,-3)/ (0,-1)/ (-4,-5)/ (2,-4)/ (-2,0);2026-01-01 16:25:55;17.06
139;14.87;; (1,3)/ (-4,2)/ (3,0)/ (1,-2)/ (5,-4)/ (3,-5)/ (0,-3)/ (0,-1)/ (0,-4)/ (4,-2)/ (-4,-4)/ (1,0);2026-01-01 16:26:26;14.87
140;14.94;; (0,-4)/ (1,1)/ (0,3)/ (0,-3)/ (-4,-1)/ (1,-5)/ (0,-4)/ (6,-3)/ (1,0)/ (5,0)/ (-2,-2)/ (0,-4);2026-01-01 16:26:55;14.94
141;34.99;; (0,5)/ (1,4)/ (-4,-4)/ (-3,0)/ (6,-3)/ (-2,-3)/ (3,0)/ (6,-5)/ (0,-2)/ (5,0)/ (0,-2)/ (-1,0)/ (-3,-2);2026-01-01 16:27:25;34.99
142;16.68;; (-2,0)/ (-3,6)/ (5,5)/ (3,0)/ (0,-3)/ (3,-3)/ (-5,0)/ (3,0)/ (0,-3)/ (0,-4)/ (-4,-2)/ (-4,-4)/;2026-01-01 16:28:16;16.68
143;30.43;; (-3,2)/ (3,0)/ (-2,-5)/ (-4,-1)/ (-5,-5)/ (-4,0)/ (-3,0)/ (0,-1)/ (-4,0)/ (0,-5)/ (-4,-5)/ (6,0)/ (-2,0)/;2026-01-01 16:28:51;30.43
144;16.19;; (3,2)/ (-2,1)/ (-4,-1)/ (-5,-2)/ (5,0)/ (-3,-3)/ (0,-1)/ (0,-4)/ (-4,-5)/ (-2,0)/ (1,0)/ (-3,0)/ (6,0);2026-01-01 16:29:35;16.19
145;17.38;; (-2,0)/ (3,0)/ (0,3)/ (-3,0)/ (3,0)/ (3,-3)/ (-1,0)/ (-3,0)/ (-3,-1)/ (0,-2)/ (0,-4)/ (-5,0)/ (0,-2)/ (-2,0);2026-01-01 16:30:05;17.38
146;14.65;; (4,0)/ (-1,-1)/ (0,-3)/ (4,-5)/ (0,-3)/ (-4,-4)/ (0,-5)/ (3,0)/ (3,0)/ (2,-3)/ (2,0)/ (4,-5)/ (2,0)/;2026-01-01 16:30:36;14.65
147;12.41;; (0,2)/ (4,-2)/ (5,-4)/ (4,-2)/ (0,-3)/ (6,-1)/ (0,-3)/ (-1,0)/ (1,-4)/ (-4,-4)/ (0,-3);2026-01-01 16:31:07;12.41
148;15.98;; (-2,0)/ (-3,0)/ (-4,-1)/ (-3,0)/ (4,-2)/ (5,-1)/ (0,-5)/ (-3,-3)/ (0,-1)/ (-2,0)/ (0,-4)/ (4,0)/ (2,0);2026-01-01 16:31:30;15.98
149;14.43;; (0,2)/ (-5,4)/ (-3,6)/ (2,-4)/ (3,0)/ (4,-3)/ (-3,0)/ (3,0)/ (2,-2)/ (0,-4)/ (3,-2)/ (0,-4);2026-01-01 16:31:59;14.43
150;10.82;; (4,0)/ (5,-1)/ (3,0)/ (-3,0)/ (4,-5)/ (2,-1)/ (-2,0)/ (-3,-3)/ (5,0)/ (2,-4)/ (6,-2)/ (0,-2)/ (-4,0);2026-01-01 16:32:29;10.82
151;14.98;; (-5,3)/ (3,6)/ (3,0)/ (-1,-1)/ (-3,0)/ (3,0)/ (4,0)/ (3,0)/ (3,0)/ (-1,0)/ (2,0)/ (-4,-5)/ (2,-1);2026-01-01 16:32:51;14.98
152;8.26;CSP; (-5,0)/ (0,-3)/ (-4,5)/ (0,-3)/ (0,-3)/ (3,0)/ (0,-3)/ (-5,0)/ (-3,-3)/ (0,-3)/ (-3,-3)/ (-2,-3);2026-01-01 16:33:35;8.26
153;14.32;; (-2,0)/ (3,6)/ (2,5)/ (3,0)/ (1,-5)/ (0,-3)/ (0,-4)/ (0,-3)/ (0,-2)/ (5,0)/ (-5,-2)/;2026-01-01 16:34:10;14.32
154;16.82;; (-2,0)/ (-3,0)/ (6,-3)/ (2,-4)/ (4,-2)/ (0,-1)/ (-3,0)/ (-1,0)/ (2,0)/ (0,-2)/ (6,-3);2026-01-01 16:35:04;16.82
155;19.30;; (-5,0)/ (3,3)/ (-1,2)/ (0,-3)/ (3,0)/ (3,-5)/ (-3,-3)/ (6,-1)/ (4,0)/ (-4,-2)/ (-4,0);2026-01-01 16:35:35;19.30
156;12.76;; (0,2)/ (4,-2)/ (0,-3)/ (3,-3)/ (2,-1)/ (4,0)/ (-3,0)/ (5,-2)/ (-2,0)/ (1,0)/ (0,-3)/ (-4,-4);2026-01-01 16:36:08;12.76
157;16.28;CSP; (1,3)/ (-1,-4)/ (0,-3)/ (3,0)/ (1,-5)/ (5,-3)/ (0,-3)/ (-2,0)/ (3,-1)/ (3,-4)/ (2,0)/ (0,-2)/ (-2,0);2026-01-01 16:37:09;16.28
158;13.32;; (3,-4)/ (-3,3)/ (-2,-5)/ (0,-3)/ (-3,-3)/ (-3,-1)/ (0,-3)/ (-1,-2)/ (3,-2)/ (6,0)/ (-4,0)/ (-5,0)/;2026-01-01 16:37:59;13.32
159;15.79;; (-5,0)/ (2,-1)/ (4,-5)/ (3,0)/ (-1,-3)/ (-3,0)/ (-3,-1)/ (-5,0)/ (1,-2)/ (4,-4)/ (-5,-2)/;2026-01-01 16:38:30;15.79
160;16.88;; (-2,0)/ (3,-3)/ (6,3)/ (3,0)/ (5,-1)/ (1,0)/ (0,-3)/ (-3,0)/ (3,-4)/ (2,0)/ (0,-2)/ (4,0)/ (-5,0);2026-01-01 16:39:02;16.88
161;12.29;; (1,3)/ (2,-4)/ (-5,-5)/ (-3,0)/ (2,-4)/ (-3,-2)/ (-3,0)/ (6,0)/ (0,-4)/ (-2,0)/;2026-01-01 16:39:30;12.29
162;15.28;; (0,5)/ (4,-2)/ (0,-3)/ (0,-3)/ (6,0)/ (6,-3)/ (-1,0)/ (3,0)/ (3,0)/ (4,0)/ (-2,0)/ (-2,-1)/ (6,0);2026-01-01 16:39:56;15.28
163;12.88;; (0,-1)/ (4,1)/ (0,3)/ (-3,0)/ (-3,0)/ (6,0)/ (-3,-4)/ (-3,0)/ (-1,0)/ (0,-2)/ (2,-3)/ (0,-5)/ (-2,0)/ (0,-2)/;2026-01-01 16:40:27;12.88
164;15.96;; (4,3)/ (-4,2)/ (1,-2)/ (-1,-1)/ (3,0)/ (1,-3)/ (3,0)/ (-3,0)/ (5,-3)/ (0,-2)/ (2,0)/ (-2,0);2026-01-01 16:40:52;15.96
165;17.36;; (4,6)/ (-4,-1)/ (-3,0)/ (-5,-2)/ (0,-1)/ (-3,0)/ (-1,0)/ (2,-5)/ (2,-1)/ (-4,-5)/ (3,0)/ (0,-3);2026-01-01 16:41:22;17.36
166;17.92;; (0,-4)/ (1,-5)/ (-3,0)/ (-1,-4)/ (3,0)/ (3,-2)/ (-3,0)/ (4,-1)/ (-4,0)/ (4,0)/ (0,-5)/ (-4,-5)/;2026-01-01 16:41:53;17.92
167;23.51;; (-5,0)/ (2,5)/ (1,4)/ (-1,-4)/ (4,-2)/ (2,0)/ (0,-3)/ (-2,-1)/ (0,-2)/ (2,0)/ (-5,0)/;2026-01-01 16:42:26;23.51
168;13.41;; (0,-1)/ (1,-2)/ (3,0)/ (-1,-1)/ (4,-2)/ (-3,-4)/ (-3,-3)/ (1,0)/ (-2,0)/ (-2,0)/ (-5,-2);2026-01-01 16:43:04;13.41
169;17.48;; (-5,0)/ (3,0)/ (-1,-1)/ (0,-3)/ (-3,0)/ (-3,-3)/ (-5,0)/ (-3,-3)/ (1,0)/ (-4,0)/ (4,0)/ (-4,-3)/ (4,0);2026-01-01 16:43:30;17.48
170;13.10;; (-2,0)/ (-1,-4)/ (0,-3)/ (3,0)/ (-5,-5)/ (3,0)/ (-3,-1)/ (-3,-3)/ (3,0)/ (-2,-4)/ (0,-2)/ (4,-5)/ (1,0);2026-01-01 16:44:07;13.10
171;14.85;; (0,5)/ (-5,-2)/ (-1,-1)/ (3,0)/ (0,-3)/ (-3,-5)/ (-3,0)/ (0,-3)/ (4,0)/ (4,-1)/ (-5,0)/ (-2,0)/ (4,0);2026-01-01 16:44:35;14.85
172;16.32;; (-5,0)/ (-3,6)/ (-3,0)/ (-4,-1)/ (6,0)/ (-3,-3)/ (-5,0)/ (-3,0)/ (-1,0)/ (0,-2)/ (0,-4)/ (0,-4)/ (4,0)/ (6,0);2026-01-01 16:45:07;16.32
173;11.46;; (0,-1)/ (1,4)/ (5,5)/ (3,0)/ (4,-2)/ (0,-3)/ (-4,0)/ (3,0)/ (3,-3)/ (2,-5)/ (-2,-3);2026-01-01 16:45:35;11.46
174;16.31;; (-2,0)/ (5,-4)/ (4,-5)/ (2,-1)/ (-3,0)/ (6,0)/ (0,-5)/ (-3,-3)/ (0,-1)/ (0,-4)/ (-2,-4)/ (4,0)/ (2,0)/;2026-01-01 16:46:00;16.31
175;12.96;; (3,5)/ (0,-3)/ (0,3)/ (-5,-2)/ (3,0)/ (-3,0)/ (3,-1)/ (-3,0)/ (5,-2)/ (4,0)/ (4,-1)/ (4,0)/ (4,0)/;2026-01-01 16:48:10;12.96
176;11.79;; (0,5)/ (6,0)/ (-5,-2)/ (-3,0)/ (-1,-4)/ (3,0)/ (1,-3)/ (-3,-3)/ (5,0)/ (2,0)/ (-2,0)/ (-2,0)/ (-2,0);2026-01-01 16:48:37;11.79
177;18.99;; (-2,0)/ (-3,0)/ (3,3)/ (-1,-1)/ (0,-3)/ (3,0)/ (6,-5)/ (-3,0)/ (0,-1)/ (-2,0)/ (-2,0)/ (2,-5)/ (0,-4)/;2026-01-01 16:49:07;18.99
178;22.52;; (1,0)/ (5,2)/ (-5,4)/ (-3,0)/ (3,0)/ (6,0)/ (-1,0)/ (-3,0)/ (-2,0)/ (5,0)/ (-4,0)/ (-5,0)/ (-4,0)/ (-2,-3);2026-01-01 16:49:39;22.52
179;14.75;; (-5,0)/ (-1,2)/ (1,4)/ (-1,-1)/ (3,0)/ (-5,0)/ (-3,-3)/ (-3,0)/ (6,-4)/ (4,-4)/ (-4,-1);2026-01-01 16:50:15;14.75
180;22.79;; (-2,0)/ (3,-3)/ (5,-4)/ (0,-3)/ (6,0)/ (-3,0)/ (0,-2)/ (0,-3)/ (4,-1)/ (0,-4)/ (-4,-5)/ (-4,0)/ (-2,0);2026-01-01 16:50:47;22.79
181;9.45;; (0,5)/ (-3,-3)/ (-5,-2)/ (3,0)/ (-3,0)/ (-3,-3)/ (5,0)/ (3,0)/ (-3,0)/ (-3,-4)/ (1,0)/ (0,-4)/ (-4,-3)/;2026-01-01 16:51:23;9.45
182;12.13;; (-5,0)/ (-3,3)/ (2,2)/ (3,0)/ (-2,-5)/ (0,-3)/ (2,0)/ (-3,0)/ (-2,-1)/ (4,0)/ (-3,0)/ (0,-3)/ (4,-2);2026-01-01 16:51:46;12.13
183;16.70;; (-2,0)/ (-4,2)/ (-5,4)/ (-3,-3)/ (-1,-4)/ (4,-3)/ (0,-3)/ (3,0)/ (-2,-4)/ (-2,-3)/ (0,-2)/ (4,0)/;2026-01-01 16:52:15;16.70
184;14.88;; (-3,5)/ (1,-2)/ (3,0)/ (-1,-1)/ (3,0)/ (6,0)/ (-2,0)/ (0,-3)/ (0,-2)/ (-4,0)/ (0,-2)/ (3,0)/ (0,-4)/;2026-01-01 16:52:44;14.88
185;11.78;; (-5,0)/ (-4,2)/ (-2,-5)/ (0,-3)/ (3,0)/ (5,-1)/ (0,-5)/ (0,-3)/ (-2,-1)/ (3,-4)/ (0,-1)/;2026-01-01 16:53:13;11.78
186;16.92;; (-3,5)/ (-2,4)/ (3,0)/ (-3,-3)/ (-4,-1)/ (4,0)/ (-3,0)/ (0,-3)/ (1,-3)/ (5,-2)/ (4,0)/;2026-01-01 16:53:40;16.92
187;15.89;; (4,0)/ (2,-1)/ (0,3)/ (3,0)/ (-3,-3)/ (-2,-5)/ (2,0)/ (0,-3)/ (-2,-1)/ (-3,0)/ (-1,-4)/ (-2,-1);2026-01-01 16:54:15;15.89
188;14.48;; (0,2)/ (-2,-5)/ (0,3)/ (0,-3)/ (-4,-1)/ (1,-5)/ (2,0)/ (3,0)/ (3,0)/ (-4,0)/ (4,-4)/ (3,0)/ (-3,-4)/;2026-01-01 16:54:47;14.48
189;10.70;; (3,-1)/ (4,-5)/ (-4,-1)/ (1,-2)/ (0,-3)/ (0,-4)/ (-3,-3)/ (-1,-2)/ (6,-4)/ (6,-4)/ (-1,0);2026-01-01 16:55:15;10.70
190;14.32;; (0,-4)/ (3,0)/ (4,4)/ (-3,0)/ (3,-3)/ (5,-4)/ (0,-5)/ (-3,-3)/ (3,0)/ (5,-3)/ (-2,0)/ (-4,0)/ (4,0);2026-01-01 16:55:43;14.32
191;16.91;; (1,0)/ (2,-1)/ (4,4)/ (-3,0)/ (0,-3)/ (2,-4)/ (-2,0)/ (-3,0)/ (0,-3)/ (5,-3)/ (1,-4)/ (5,-2)/ (0,-4);2026-01-01 16:56:10;16.91
192;13.84;; (4,0)/ (6,-3)/ (2,-1)/ (0,-3)/ (3,0)/ (-2,-5)/ (0,-1)/ (0,-3)/ (5,-2)/ (-4,0)/ (3,-2)/ (-2,0)/ (6,-4);2026-01-01 16:56:42;13.84
193;15.97;; (4,0)/ (0,-3)/ (-4,2)/ (-3,0)/ (1,-5)/ (2,0)/ (-3,-3)/ (4,-1)/ (0,-4)/ (4,0)/ (1,-4)/;2026-01-01 16:57:09;15.97
194;16.00;; (-3,2)/ (0,3)/ (6,0)/ (-3,0)/ (-2,-2)/ (3,-3)/ (-1,0)/ (-3,-3)/ (0,-5)/ (-2,-2)/ (-1,0)/ (-4,0)/ (-1,-2);2026-01-01 16:57:39;16.00
195;12.19;; (1,0)/ (5,-1)/ (4,4)/ (0,-3)/ (-3,-3)/ (0,-1)/ (-3,-3)/ (1,0)/ (-2,0)/ (2,0)/ (-4,0)/ (-2,0);2026-01-01 16:58:10;12.19
196;14.81;; (0,5)/ (-2,1)/ (0,3)/ (0,-3)/ (-1,-4)/ (1,-2)/ (-4,0)/ (3,0)/ (1,0)/ (4,0)/ (2,0)/ (0,-3)/ (2,0)/ (0,-4);2026-01-01 16:58:34;14.81
197;12.94;; (-2,0)/ (2,2)/ (0,-3)/ (-5,-2)/ (-3,-3)/ (-3,0)/ (-1,0)/ (3,0)/ (3,0)/ (-2,0)/ (-2,0)/ (-4,0)/ (0,-4)/ (6,0);2026-01-01 16:59:09;12.94
198;18.96;; (1,0)/ (-4,5)/ (-3,0)/ (-5,-5)/ (-3,-3)/ (6,0)/ (0,-4)/ (0,-3)/ (0,-2)/ (5,0)/ (1,-2)/ (-1,0)/ (0,-2);2026-01-01 16:59:33;18.96
